frame,timestamp_ms,fish_count,centers
0,0,8,"316,334|750,225|569,254|736,128|312,115|774,37|620,121|84,34"
1,40,6,"316,333|62,312|750,224|318,115|761,56|84,34"
2,80,10,"318,333|66,313|750,223|628,189|590,146|522,213|316,117|760,58|636,79|84,34"
3,120,7,"298,349|68,314|751,224|322,117|778,70|781,32|88,33"
4,160,6,"299,347|752,223|324,117|768,65|514,40|89,32"
5,200,10,"340,327|520,292|566,236|752,221|450,219|330,118|773,53|520,41|586,122|90,33"
6,240,8,"356,325|79,316|567,236|751,219|331,119|775,50|587,123|101,33"
7,280,10,"314,339|84,316|628,236|753,218|604,164|507,220|330,119|780,49|112,32|632,83"
8,320,10,"287,346|364,300|626,232|754,218|619,171|506,213|334,116|785,51|104,33|638,85"
9,360,9,"315,330|518,267|755,217|621,189|545,163|342,116|784,48|110,33|637,84"
10,400,8,"314,330|516,265|754,216|575,180|344,116|784,52|121,34|637,86"
11,440,10,"314,325|505,284|563,243|756,224|623,198|545,160|344,114|778,53|118,33|628,86"
12,480,14,"446,375|80,319|315,323|503,286|563,241|752,226|695,188|622,191|518,150|346,113|737,67|805,40|632,88|122,24"
13,520,17,"442,369|250,346|86,320|501,291|376,301|561,242|751,225|570,187|623,193|671,149|515,143|346,111|737,67|512,32|809,39|641,90|131,32"
14,560,11,"86,319|492,286|380,295|556,247|753,224|544,162|350,110|736,66|513,39|679,112|123,24"
15,600,11,"86,318|832,304|380,290|571,232|751,223|620,200|545,163|348,110|824,47|736,64|634,91"
16,640,12,"397,381|414,371|830,302|238,316|390,282|575,224|756,223|622,203|535,162|350,108|823,36|640,92"
17,680,12,"429,374|828,300|484,297|237,314|384,280|570,232|755,223|581,179|348,108|827,45|824,36|637,92"
18,720,12,"427,374|240,341|820,300|226,303|568,233|760,227|631,213|667,153|535,164|344,109|829,47|640,92"
19,760,10,"392,385|818,297|448,309|567,233|761,227|406,256|632,218|533,163|344,109|635,92"
20,800,10,"425,382|472,311|222,313|567,234|416,258|704,220|529,162|342,109|827,39|633,93"
21,840,8,"787,337|426,364|214,314|380,267|416,259|729,58|826,32|652,125"
22,880,10,"791,338|426,364|467,287|222,316|412,259|352,113|728,57|829,30|114,13|650,134"
23,920,10,"424,376|794,340|222,314|564,241|404,259|526,159|352,114|727,58|640,125|115,11"
24,960,5,"763,347|418,377|400,264|352,114|637,124"
25,1000,5,"383,390|76,320|394,263|354,114|642,124"
26,1040,6,"412,382|72,317|390,265|523,151|350,116|635,123"
27,1080,6,"412,376|67,317|380,265|520,149|348,117|641,123"
28,1120,6,"410,382|64,315|374,265|522,156|344,117|640,122"
29,1160,5,"569,217|727,208|666,137|346,112|599,91"
30,1200,1,"62,310"
31,1240,5,"396,374|62,308|388,270|540,252|517,147"
32,1280,8,"62,310|380,260|540,257|718,198|515,149|441,78|393,89|641,85"
33,1320,10,"62,310|342,271|361,264|524,249|721,197|506,151|340,110|433,83|515,24|615,86"
34,1360,6,"62,311|317,285|722,198|515,142|386,98|623,85"
35,1400,5,"62,310|510,291|306,287|717,198|527,96"
36,1440,5,"62,309|508,281|317,285|721,203|513,25"
37,1480,7,"332,323|62,305|512,288|190,291|348,280|724,200|721,82"
38,1520,5,"510,290|211,282|726,198|727,82|481,12"
39,1560,10,"832,278|121,294|358,296|728,196|824,158|486,119|533,186|379,101|516,27|651,107"
40,1600,8,"338,364|454,312|834,271|119,291|355,295|732,192|824,154|745,80"
41,1640,9,"455,311|113,291|348,293|736,192|825,156|545,201|366,109|735,29|633,108"
42,1680,9,"455,310|111,289|350,293|743,189|816,145|539,201|368,111|747,79|633,104"
43,1720,12,"457,310|109,288|346,292|746,188|655,154|819,145|553,201|366,110|750,80|522,23|738,28|633,104"
44,1760,8,"458,310|107,286|348,291|753,177|558,203|367,112|740,29|655,104"
45,1800,11,"210,352|451,310|104,286|344,291|563,255|830,150|354,124|533,138|753,81|736,29|675,118"
46,1840,6,"456,310|198,306|654,167|531,139|380,114|758,83"
47,1880,6,"454,311|234,295|530,140|384,118|763,85|742,29"
48,1920,11,"457,312|514,286|197,301|826,218|767,188|680,136|530,143|381,120|768,87|752,27|607,125"
49,1960,11,"416,376|456,313|513,286|548,264|190,267|764,189|530,143|381,119|782,93|754,27|609,132"
50,2000,11,"412,377|208,365|454,314|513,287|542,267|189,267|764,189|382,120|786,93|756,27|594,126"
51,2040,15,"408,382|316,348|450,314|62,292|241,281|508,287|543,268|306,255|764,189|677,141|531,143|380,120|796,96|758,27|601,128"
52,2080,9,"252,363|447,315|505,287|265,260|764,189|799,101|379,121|757,29|596,141"
53,2120,12,"401,384|250,365|447,317|834,306|230,284|500,287|764,189|524,148|804,104|364,131|757,29|596,141"
54,2160,16,"399,384|248,369|446,319|828,305|498,289|257,272|672,249|764,218|62,168|789,165|302,149|529,151|803,108|357,132|758,29|604,140"
55,2200,15,"247,368|443,319|824,304|499,283|682,260|255,273|764,223|62,169|794,161|285,151|806,107|393,135|803,13|726,29|585,141"
56,2240,16,"247,371|441,318|818,304|498,282|686,263|252,262|550,239|769,218|62,168|800,158|805,105|351,137|715,77|810,13|724,29|586,109"
57,2280,18,"246,376|442,318|816,298|220,284|695,272|497,282|768,221|549,239|806,168|62,168|274,163|523,158|808,105|406,99|704,77|815,12|725,29|584,105"
58,2320,17,"408,389|244,375|439,317|816,300|220,286|703,274|498,283|546,254|551,208|768,192|62,168|288,161|812,104|414,97|710,77|823,11|614,104"
59,2360,17,"412,391|245,377|438,318|815,300|715,283|224,285|498,284|543,256|764,220|816,169|62,168|263,165|278,162|525,155|418,97|709,77|614,106"
60,2400,16,"416,393|244,383|442,320|800,299|721,286|500,285|543,263|768,226|554,211|23,188|821,175|250,227|416,97|734,77|726,32|584,110"
61,2440,14,"418,396|244,385|444,322|727,291|500,286|543,265|765,227|556,211|826,160|62,171|260,219|523,164|420,99|609,108"
62,2480,12,"241,388|446,325|728,292|500,286|544,267|766,229|828,161|62,172|287,222|532,167|424,102|623,108"
63,2520,14,"237,388|447,324|740,298|256,287|501,286|543,265|565,226|774,224|26,189|835,152|278,229|527,168|432,102|615,111"
64,2560,11,"235,388|450,321|751,299|500,283|556,247|774,224|62,170|275,230|528,167|438,101|617,110"
65,2600,14,"61,431|285,394|238,387|450,319|755,298|501,280|550,247|767,228|525,209|257,231|62,166|532,150|448,99|618,107"
66,2640,11,"255,390|451,319|752,296|504,286|771,230|555,247|282,231|62,163|534,150|449,100|617,109"
67,2680,12,"236,402|452,323|764,306|504,281|556,250|777,231|651,201|281,235|62,166|533,151|452,101|613,110"
68,2720,11,"234,402|453,322|775,306|247,294|270,291|504,282|778,231|279,193|62,166|462,100|620,146"
69,2760,13,"254,403|62,368|456,323|787,314|266,292|509,284|554,262|808,233|751,225|281,196|63,167|592,118|101,28"
70,2800,12,"233,406|62,367|455,323|792,316|268,295|507,282|549,269|801,234|751,218|281,199|63,167|594,126"
71,2840,13,"232,408|62,367|455,325|791,314|270,297|506,285|549,270|800,235|749,225|279,201|62,167|598,126|97,33"
72,2880,12,"230,416|62,368|450,322|228,303|500,286|548,271|785,227|657,204|275,202|62,167|502,166|620,120"
73,2920,13,"242,394|62,366|818,324|450,324|221,307|547,274|499,287|784,223|658,204|268,204|63,171|456,115|626,124"
74,2960,13,"234,397|62,366|447,325|248,304|547,277|503,288|783,224|659,205|270,205|66,174|517,180|463,116|618,121"
75,3000,15,"62,365|227,395|202,338|447,324|212,311|242,309|546,278|504,290|565,234|779,220|521,195|253,206|69,179|501,124|630,122"
76,3040,17,"261,390|447,325|208,313|827,307|546,280|236,309|504,293|557,247|560,227|208,223|661,205|778,220|236,207|517,191|73,182|505,122|629,122"
77,3080,17,"168,422|62,359|294,354|448,324|205,316|228,313|503,295|544,277|557,235|203,219|662,203|777,217|240,198|74,185|521,164|645,122|477,13"
78,3120,14,"167,424|284,350|445,325|830,292|224,312|541,279|503,296|777,232|207,213|660,203|226,209|81,188|520,163|614,132"
79,3160,13,"211,434|156,424|445,326|282,347|197,321|226,316|827,287|503,297|763,216|213,206|83,192|501,156|611,134"
80,3200,12,"85,420|218,426|443,326|282,344|222,320|824,281|503,295|773,233|196,218|84,194|496,160|606,136"
81,3240,11,"212,428|83,422|442,327|278,338|216,319|502,298|782,274|193,219|83,201|494,161|608,136"
82,3280,10,"214,431|73,423|440,327|272,335|218,322|780,274|83,201|488,160|621,165|472,15"
83,3320,6,"210,433|63,422|437,327|243,309|779,267|137,182"
84,3360,10,"212,437|62,423|435,325|242,321|780,272|656,198|136,181|487,161|620,165|476,15"
85,3400,11,"231,441|62,422|11,364|174,329|504,298|237,312|780,255|656,197|455,173|139,178|477,14"
86,3440,11,"62,423|11,366|435,327|236,322|504,300|551,248|780,241|92,216|191,138|570,125|481,16"
87,3480,11,"265,427|62,426|436,329|504,303|236,315|549,252|780,241|100,221|191,139|571,126|474,18"
88,3520,12,"268,429|173,338|437,333|504,302|238,318|551,257|79,230|780,239|102,228|189,143|756,95|471,16"
89,3560,8,"270,432|172,343|505,306|239,320|111,238|780,218|479,169|192,146"
90,3600,7,"272,433|506,308|246,324|116,242|780,225|476,171|206,149"
91,3640,9,"272,432|834,289|508,308|209,298|777,224|473,172|223,154|484,30|643,154"
92,3680,8,"272,432|508,309|209,295|776,229|405,164|220,154|488,31|629,155"
